// Start Time: 0
// Sample rate: 100.0Hz
// Scenario: 4.9
// Firmware Version: 2.5.1
Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
0312,FFFFFE64,0707,FFFFFFE8,0000,0011,FFFFFF26,0082,FFFFFFD4 
0313,FFFFFE64,0706,FFFFFFE8,0001,0011,FFFFFF2B,0081,FFFFFFC1 
0313,FFFFFE64,0706,FFFFFFE7,0000,0011,FFFFFF22,007E,FFFFFFC4 
0312,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF1D,0081,FFFFFFBB 
0312,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF24,0080,FFFFFFC8 
0312,FFFFFE65,0706,FFFFFFE7,FFFFFFFF,0011,FFFFFF22,0076,FFFFFFCE 
0312,FFFFFE65,0706,FFFFFFE8,0000,0011,FFFFFF23,007F,FFFFFFC3 
0312,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF26,007A,FFFFFFD0 
0312,FFFFFE65,0705,FFFFFFE7,0000,0010,FFFFFF28,0084,FFFFFFC2 
0313,FFFFFE65,0704,FFFFFFE8,0000,0010,FFFFFF21,007F,FFFFFFCB 
0313,FFFFFE66,0703,FFFFFFE8,0000,0011,FFFFFF21,0083,FFFFFFCB 
0313,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF16,007C,FFFFFFCA 
0313,FFFFFE65,0706,FFFFFFE7,0000,0011,FFFFFF26,0078,FFFFFFC2 
0312,FFFFFE65,0704,FFFFFFE7,FFFFFFFF,0010,FFFFFF26,0082,FFFFFFCA 
0313,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF1F,0079,FFFFFFC5 
0312,FFFFFE66,0706,FFFFFFE7,FFFFFFFF,0011,FFFFFF1B,0085,FFFFFFC7 
0313,FFFFFE65,0706,FFFFFFE7,0000,0011,FFFFFF1E,007C,FFFFFFC4 
0312,FFFFFE66,0705,FFFFFFE7,0000,0010,FFFFFF1F,007D,FFFFFFC5 
0312,FFFFFE65,0706,FFFFFFE7,0000,0010,FFFFFF1B,007F,FFFFFFC7 
0312,FFFFFE66,0706,FFFFFFE8,0000,0010,FFFFFF22,0084,FFFFFFC4 
0313,FFFFFE67,0707,FFFFFFE7,0000,0010,FFFFFF21,0081,FFFFFFCB 
0314,FFFFFE66,0707,FFFFFFE7,0000,0010,FFFFFF22,007E,FFFFFFCA 
0313,FFFFFE66,0706,FFFFFFE7,0000,0010,FFFFFF1E,007E,FFFFFFC2 
0313,FFFFFE66,0708,FFFFFFE7,0000,0010,FFFFFF1F,0081,FFFFFFC5 
0314,FFFFFE65,0706,FFFFFFE7,0000,0010,FFFFFF25,0081,FFFFFFC9 
0314,FFFFFE65,0707,FFFFFFE7,0000,0010,FFFFFF1F,007F,FFFFFFCB 
0313,FFFFFE66,0708,FFFFFFE7,0000,0010,FFFFFF22,0082,FFFFFFCC 
0312,FFFFFE66,0708,FFFFFFE7,0000,0011,FFFFFF24,0088,FFFFFFC0 
0313,FFFFFE66,0707,FFFFFFE7,FFFFFFFF,0011,FFFFFF1F,0083,FFFFFFC7 
0314,FFFFFE67,0706,FFFFFFE8,FFFFFFFF,0010,FFFFFF23,0085,FFFFFFCF 
0315,FFFFFE65,0707,FFFFFFE8,0000,0010,FFFFFF19,007F,FFFFFFCD 
0315,FFFFFE64,0707,FFFFFFE8,0001,0011,FFFFFF27,007D,FFFFFFC3 
0314,FFFFFE65,0707,FFFFFFE7,0000,0011,FFFFFF25,007F,FFFFFFCB 
0313,FFFFFE65,0706,FFFFFFE8,0000,0011,FFFFFF28,007C,FFFFFFC8 
0313,FFFFFE65,0706,FFFFFFE8,0000,0011,FFFFFF25,007F,FFFFFFC5 
0312,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF20,0082,FFFFFFC6 
0313,FFFFFE66,0706,FFFFFFE7,0000,0011,FFFFFF1A,007E,FFFFFFCA 
0313,FFFFFE67,0708,FFFFFFE7,0000,0011,FFFFFF1C,007E,FFFFFFC2 
0314,FFFFFE67,0709,FFFFFFE7,0000,0011,FFFFFF22,007E,FFFFFFCA 
0314,FFFFFE66,0709,FFFFFFE8,0000,0011,FFFFFF22,007C,FFFFFFC8 
0313,FFFFFE66,070A,FFFFFFE8,0000,0010,FFFFFF24,0080,FFFFFFC6 
0314,FFFFFE66,0709,FFFFFFE7,0000,0010,FFFFFF21,0085,FFFFFFC5 
0313,FFFFFE65,070A,FFFFFFE7,FFFFFFFF,0010,FFFFFF20,0086,FFFFFFC8 
0314,FFFFFE64,0709,FFFFFFE7,FFFFFFFF,0010,FFFFFF1F,007D,FFFFFFCD 
0314,FFFFFE64,0708,FFFFFFE7,FFFFFFFF,0010,FFFFFF23,0079,FFFFFFC9 
0313,FFFFFE64,0708,FFFFFFE7,FFFFFFFF,0010,FFFFFF2B,007F,FFFFFFC5 
0312,FFFFFE64,0706,FFFFFFE8,FFFFFFFF,0010,FFFFFF21,007B,FFFFFFCF 
0313,FFFFFE65,0706,FFFFFFE7,FFFFFFFF,0010,FFFFFF20,0076,FFFFFFCA 
0313,FFFFFE64,0708,FFFFFFE7,FFFFFFFF,0010,FFFFFF25,007B,FFFFFFCB 
0313,FFFFFE64,0705,FFFFFFE8,0000,0010,FFFFFF1C,0084,FFFFFFC6 
0312,FFFFFE64,0705,FFFFFFE7,0000,0010,FFFFFF1C,007A,FFFFFFC2 
0313,FFFFFE66,0704,FFFFFFE7,0000,0010,FFFFFF21,007B,FFFFFFC5 
0313,FFFFFE66,0706,FFFFFFE6,0000,0010,FFFFFF25,007D,FFFFFFC1 
0314,FFFFFE66,0705,FFFFFFE6,0000,0010,FFFFFF1F,007D,FFFFFFC7 
0312,FFFFFE66,0704,FFFFFFE7,0000,0010,FFFFFF29,0077,FFFFFFC5 
0312,FFFFFE65,0705,FFFFFFE7,0000,0010,FFFFFF29,0083,FFFFFFC9 
0312,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF2D,007F,FFFFFFC7 
0312,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF21,0089,FFFFFFC7 
0312,FFFFFE65,0704,FFFFFFE7,0000,0010,FFFFFF24,0082,FFFFFFC8 
0312,FFFFFE65,0703,FFFFFFE7,FFFFFFFF,0010,FFFFFF29,007B,FFFFFFCD 
0313,FFFFFE66,0703,FFFFFFE7,FFFFFFFF,0010,FFFFFF21,007F,FFFFFFC9 
0313,FFFFFE66,0703,FFFFFFE7,FFFFFFFF,0010,FFFFFF28,0082,FFFFFFCE 
0313,FFFFFE66,0704,FFFFFFE7,FFFFFFFF,0011,FFFFFF25,007D,FFFFFFC1 
0314,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF1B,0089,FFFFFFC1 
0313,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF27,0083,FFFFFFC9 
0313,FFFFFE66,0705,FFFFFFE7,0000,0011,FFFFFF23,0081,FFFFFFC7 
0314,FFFFFE66,0704,FFFFFFE7,0000,0011,FFFFFF19,007F,FFFFFFCD 
0313,FFFFFE65,0703,FFFFFFE7,0000,0011,FFFFFF1D,0083,FFFFFFC7 
0312,FFFFFE64,0703,FFFFFFE7,0000,0011,FFFFFF24,0080,FFFFFFC2 
0312,FFFFFE65,0701,FFFFFFE7,FFFFFFFF,0011,FFFFFF26,0080,FFFFFFCE 
0313,FFFFFE65,0702,FFFFFFE7,0000,0011,FFFFFF21,0077,FFFFFFC3 
0312,FFFFFE65,0705,FFFFFFE7,0000,0010,FFFFFF27,0083,FFFFFFBF 
0312,FFFFFE65,0703,FFFFFFE7,0000,0010,FFFFFF21,0081,FFFFFFCD 
0314,FFFFFE64,0701,FFFFFFE8,0000,0011,FFFFFF21,007F,FFFFFFC7 
0313,FFFFFE65,0702,FFFFFFE8,0000,0011,FFFFFF25,007F,FFFFFFC3 
0314,FFFFFE65,0704,FFFFFFE7,0000,0011,FFFFFF20,0082,FFFFFFC6 
0313,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF1D,007B,FFFFFFC3 
0312,FFFFFE64,0704,FFFFFFE7,0000,0011,FFFFFF27,0079,FFFFFFCD 
0313,FFFFFE65,0702,FFFFFFE7,0000,0011,FFFFFF1F,007F,FFFFFFC7 
0313,FFFFFE64,0703,FFFFFFE8,0000,0011,FFFFFF25,0079,FFFFFFC1 
0314,FFFFFE64,0705,FFFFFFE8,0000,0011,FFFFFF1C,0082,FFFFFFBE 
0314,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF1C,0086,FFFFFFCA 
0313,FFFFFE64,0705,FFFFFFE8,0000,0011,FFFFFF22,0080,FFFFFFC8 
0313,FFFFFE65,0705,FFFFFFE7,0000,0011,FFFFFF27,007D,FFFFFFC1 
0313,FFFFFE64,0704,FFFFFFE7,0000,0011,FFFFFF23,007B,FFFFFFCF 
0313,FFFFFE64,0704,FFFFFFE8,0000,0010,FFFFFF20,0080,FFFFFFC6 
